2021-12-28 19:12:872 INFO  CreateAccountPage :63 - Entering password[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //input[@id='passwd']]
2021-12-28 19:12:33 INFO  CreateAccountPage :65 - Entering address[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //input[@id='address1']]
2021-12-28 19:12:244 INFO  CreateAccountPage :67 - Entering city[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //input[@id='city']]
2021-12-28 19:12:353 INFO  CreateAccountPage :69 - Selecting the state[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //select[@id='id_state']]
2021-12-28 19:12:465 INFO  CreateAccountPage :71 - Entering postalcode[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //input[@id='postcode']]
2021-12-28 19:12:595 INFO  CreateAccountPage :73 - Entering contact number[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //input[@id='phone_mobile']]
2021-12-28 19:12:723 INFO  CreateAccountPage :78 - Clicking on register link[[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> xpath: //button[@id='submitAccount']]
2021-12-28 19:12:845 INFO  CreateAccountPage :87 - verifying error message : [[ChromeDriver: chrome on WINDOWS (abf110e4ee33601ed44630ae8a5ef294)] -> css selector: div[class='alert alert-danger'] p]
2021-12-28 19:12:802 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:161 INFO  ShoppingCartPage :34 - closing shopping cart window : [[ChromeDriver: chrome on WINDOWS (91d47e1ae6021f40140938c14cbb0e39)] -> xpath: //span[@title='Close window']]<br>
2021-12-28 19:12:89 INFO  ShoppingCartPage :39 - verifying delete icon : [[ChromeDriver: chrome on WINDOWS (91d47e1ae6021f40140938c14cbb0e39)] -> xpath: //a[@class='ajax_cart_block_remove_link']]<br>
2021-12-28 19:12:460 INFO  ShoppingCartPage :47 - removing item from cart : [[ChromeDriver: chrome on WINDOWS (91d47e1ae6021f40140938c14cbb0e39)] -> xpath: //a[@class='ajax_cart_block_remove_link']]<br>
2021-12-28 19:12:595 INFO  ShoppingCartSummaryPage :30 - verifying empty cart message : Proxy element for: DefaultElementLocator 'By.xpath: //p[@class='alert alert-warning']'<br>
2021-12-28 19:12:183 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:613 INFO  OurStoresPage :32 - accepting the alert : [[ChromeDriver: chrome on WINDOWS (5240aa6c7d9a3c2827121cd4d3f10d90)] -> css selector: .dismissButton]
2021-12-28 19:12:383 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:30 INFO  SummerDressesPage :48 - verifying summer page text : [[ChromeDriver: chrome on WINDOWS (b47df81d3c5b40cb21034fa45dff0fd7)] -> xpath: (//span[@class='cat-name'])[1]]
2021-12-28 19:12:828 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:952 INFO  SummerDressesPage :48 - verifying summer page text : [[ChromeDriver: chrome on WINDOWS (4a86d573adb2eb649578cd8ea349cadd)] -> xpath: (//span[@class='cat-name'])[1]]
2021-12-28 19:12:993 INFO  SummerDressesPage :53 - moving slider to change price : [[ChromeDriver: chrome on WINDOWS (4a86d573adb2eb649578cd8ea349cadd)] -> xpath: //div[@id='left_column']//a[2]]
2021-12-28 19:12:255 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 19:12:432 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 19:12:226 INFO  AuthenticationPage :37 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 19:12:606 INFO  CreateAccountPage :59 - Entering firstname[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //input[@id='customer_firstname']]
2021-12-28 19:12:711 INFO  CreateAccountPage :61 - Entering lastname[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //input[@id='customer_lastname']]
2021-12-28 19:12:829 INFO  CreateAccountPage :63 - Entering password[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //input[@id='passwd']]
2021-12-28 19:12:954 INFO  CreateAccountPage :65 - Entering address[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //input[@id='address1']]
2021-12-28 19:12:114 INFO  CreateAccountPage :67 - Entering city[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //input[@id='city']]
2021-12-28 19:12:326 INFO  CreateAccountPage :69 - Selecting the state[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //select[@id='id_state']]
2021-12-28 19:12:444 INFO  CreateAccountPage :71 - Entering postalcode[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //input[@id='postcode']]
2021-12-28 19:12:563 INFO  CreateAccountPage :73 - Entering contact number[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //input[@id='phone_mobile']]
2021-12-28 19:12:715 INFO  CreateAccountPage :78 - Clicking on register link[[ChromeDriver: chrome on WINDOWS (685e9adfdb6f06855181856c875104d4)] -> xpath: //button[@id='submitAccount']]
